1	213546879	Francisco	Viseu	919293945
2	978563201	Marques	Viseu	255255222
3	123654879	Moura	Cinfaes	912255800
4	120364587	Penny	Lisboa	939393936
5	192038475	Moura	Penafiel	968456123
6	192845654	Ted	Braga	913456812
7	123849212	Joana	Lisboa	932816223
8	109842098	Maria	Evora	937261523
9	120328612	Rui	Lisboa	929867942
10	129874676	Paulo	Porto	931725321
11	123496216	Pedro	Porto	936152531
12	987654321	Ana	Leiria	925874563
13	456789012	Sofia	Aveiro	918765432
14	876543210	David	Faro	965874123
15	234567890	Isabel	Coimbra	934567890
16	543210987	Luis	Porto	917654321
17	678901234	Marta	Braga	966543210
18	890123456	Carlos	Porto	925678901
19	345678901	Andreia	Funchal	963210987
20	789012345	Diana	Cascais	911234567
1774432	0		û	6664336
